"First Name","Last Name","Age","Salary","Tenacity"
"Wilson","Bennett","19","5639","97155"
"Hailey","Robinson","21","8419","68689"
"Edith","Morris","24","8134","10937"
"Adison","Brown","20","6131","41745"
"Vivian","Cunningham","22","7834","35514"
"Heather","Roberts","24","4881","73425"
"Michael","Armstrong","23","5781","30899"
"Miranda","Martin","19","8283","33619"
"Alexander","Kelley","29","1990","98055"
"Chloe","Spencer","24","779","89818"
"Sam","Johnston","25","1147","71225"
"Alissa","Spencer","18","3877","64965"
"Abraham","Kelley","20","1622","65308"
"Edwin","Stewart","20","4376","01364"
"Adam","Grant","19","9616","38385"
